"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Scala Editor","Run Scala JUnit Test","Shift+Alt+T R","In Windows"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"File","Save","Ctrl+S","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Window","Show System Menu","Alt+-","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"LiClipse Actions","Toggle Mark Occurrences","Shift+Alt+O","LiClipse editor"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Run/Debug","Execute","Ctrl+U","In Windows"
"LiClipse Actions","Rename","Shift+Alt+R","LiClipse editor"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"File","Save All","Shift+Ctrl+S","In Windows"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Scala Editor","Open Implicit","Alt+F3","Editing Scala Source"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Window","Activate Editor","F12","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Run/Debug","Send Selection to Scala Interpreter","Shift+Ctrl+X","Editing Scala Source"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Window","Next Editor","Ctrl+Tab","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Window","Next View","Ctrl+F7","In Windows"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Scala Editor","Debug Scala Application","Shift+Alt+D S","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"File","New menu","Shift+Alt+N","In Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Run/Debug","Debug RWT Application","Shift+Alt+D 3","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Window","Toggle Full Screen","Alt+F11","In Windows"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Text Editing","Zoom In","Ctrl+=","Editing Text"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Edit","Add Maven Dependency","Shift+Ctrl+D","Editing XML Source"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Edit","Delete","Delete","In Windows"
"Text Editing","Line End","End","Editing Text"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Navigate","Previous","Ctrl+,","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Run/Debug","Run Gradle Test","Ctrl+Alt+X G","In Windows"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Refactor - Scala","Organize Imports","Shift+Ctrl+O","Editing Scala Source"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks View"
"Search - Scala","Find References of Method","Shift+Ctrl+G","Editing Scala Source"
"View","Zoom In","Ctrl+=","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Run/Debug","Run Maven Build","Shift+Alt+X M","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"File","Properties","Alt+Enter","In Windows"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"LiClipse Actions","Previous Element","Shift+Ctrl+Up","LiClipse editor"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Worksheet commands","Format","Shift+Ctrl+F","Editing Scala Worksheet"
"Scala Editor","Scala Quick Assist","Ctrl+1","Editing Scala Source"
"Navigate","Open Manifest","Shift+Ctrl+Alt+M","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"View","Zoom Out","Ctrl+-","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"File","Close","Ctrl+W","In Windows"
"Scala Editor","Show Type","Shift+Ctrl+Q","Editing Scala Source"
"Navigate","Open Maven POM","Shift+Alt+P","In Windows"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Navigate","Open from Clipboard","Shift+Ctrl+V","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"LiClipse Actions","Toggle Comment","Ctrl+/","LiClipse editor"
"Run/Debug","SWTBot Test","Shift+Alt+D S","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Git","Commit...","Ctrl+#","In Windows"
"Refactor - Scala","Extract...","Shift+Alt+E","Editing Scala Source"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"Run/Debug","Step Into","F5","Debugging"
"Run/Debug","Debug","F11","In Windows"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"LiClipse Actions","Rename","Ctrl+2 R","LiClipse editor"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"LiClipse Actions","Quick Outline","Ctrl+O","LiClipse editor"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"LiClipse Actions","Next Element","Shift+Ctrl+Down","LiClipse editor"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"File","New","Ctrl+N","In Windows"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Source","Quick Assist - Extract method","Ctrl+2 M","Editing Java Source"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Text Editing","Zoom In","Ctrl++","Editing Text"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"File","Rename","F2","In Windows"
"LiClipse Actions","Go to Matching Bracket","Shift+Ctrl+P","LiClipse editor"
"File","Print","Ctrl+P","In Windows"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Refactor - Scala","Extract Local","Shift+Alt+L","Editing Scala Source"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Focused UI","Focus on Active Task","Shift+Alt+H","In Windows"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Refactor - Scala","Inline Local","Shift+Alt+I","Editing Scala Source"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Run/Debug","SWTBot Test","Shift+Alt+X S","In Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Run/Debug","Run RAP Application","Shift+Alt+X R","In Windows"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"LiClipse Actions","Code Format","Shift+Ctrl+F","LiClipse editor"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Worksheet commands","Evaluate Script","Shift+Ctrl+B","Editing Scala Worksheet"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Edit","Add Maven Plugin","Shift+Ctrl+P","Editing XML Source"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Run/Debug","Debug RAP Application","Shift+Alt+D R","In Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Alt+U","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Run/Debug","Step Over","F6","Debugging"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Window","Previous Editor","Shift+Ctrl+Tab","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"LiClipse Actions","Deselect Enclosing Scope","Shift+Alt+Down","LiClipse editor"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Navigate","Quick Outline","Shift+Ctrl+O","Task Markup Editor Source Context"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Scala Editor","Debug Scala JUnit Test","Shift+Alt+T D","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Run/Debug","Run RWT Application","Shift+Alt+X 3","In Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Menu - Scala","Refactor Quick Menu","Shift+Alt+T","Editing Scala Source"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Navigate","Matching Character","Shift+Ctrl+P","Editing in Structured Text Editors"
"Run/Debug","Step Return","F7","Debugging"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Edit","Toggle Word Wrap","Shift+Alt+Y","Editing Text"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Text Editing","Zoom Out","Ctrl+-","Editing Text"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Source","Snipmatch Snippet Completion","Ctrl+Alt+Space","Editing Text"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Scala Editor","Run Scala Application","Shift+Alt+X S","In Windows"
"Window","Next Editor","Ctrl+F6","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Edit","Add Block Comment","Shift+Ctrl+/","Editing in Structured Text Editors"
"Text Editing","Line Start","Home","Editing Text"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Refactor - Scala","Rename","Shift+Alt+R","Editing Scala Source"
"Views","Refresh View (Gradle Tasks)","F5","In Gradle Tasks View"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"File","Refresh","F5","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Search - Scala","Open Type Hierarchy","Ctrl+F4","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"File","Close All","Shift+Ctrl+W","In Windows"
"Scala Editor","Toggle Implicits Display","Shift+Ctrl+I","Editing Scala Source"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Views","Show View ()","Shift+Alt+Q T","In Windows"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Scala Debugger","Step Message Out","Shift+F5","Debugging"
"LiClipse Actions","Select Enclosing Scope","Shift+Alt+Up","LiClipse editor"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Project","Build All","Ctrl+B","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Window","Update Project","Alt+F5","In Windows"
"Worksheet commands","Clear Results","Shift+Ctrl+C","Editing Scala Worksheet"
